Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Stephen Gostkowski,NE,  at  GB,1,9,1.9896907216495,1.6340124881908
2,Adam Vinatieri,IND,  vs.  WAS,1,20,3,3.1069375958474
3,Dan Bailey,DAL,  vs.  PHI,1,18,3.7244897959184,2.8348437391514
4,Cody Parkey,PHI,  at  DAL,1,22,4.7551020408163,3.0340288581417
5,Mason Crosby,GB,  vs.  NE,1,11,5.6224489795918,1.7815110882622
6,Justin Tucker,BAL,  vs.  SD,1,29,6.0416666666667,4.3967712269599
7,Steven Hauschka,SEA,  at  SF,1,28,8.8979591836735,4.599223084166
8,Phil Dawson,SF,  vs.  SEA,2,27,9.1632653061224,4.0043187847139
9,Shaun Suisham,PIT,  vs.  NO,1,25,9.7708333333333,3.9646331447212
10,Matt Bryant,ATL,  vs.  ARI,1,28,12.123711340206,4.671161210095
11,Nick Novak,SD,  at  BAL,3,31,13.270833333333,4.2339874002594
12,Matt Prater,DET,  vs.  CHI,4,23,12.915789473684,3.597259652612
13,Chandler Catanzaro,ARI,  at  ATL,2,31,13.670212765957,4.2411065845029
14,Dan Carpenter,BUF,  vs.  CLE,6,29,14.408602150538,4.1458271782907
15,Connor Barth,DEN,  at  KC,4,23,13.986111111111,4.4016823032524
16,Caleb Sturgis,MIA,  at  NYJ,5,30,16.193181818182,4.626647015205
17,Mike Nugent,CIN,  at  TB,5,29,16.90625,4.262428212983
18,Shayne Graham,NO,  at  PIT,5,24,16.925531914894,4.1108040361284
19,Randy Bullock,HOU,  vs.  TEN,6,29,17.325581395349,4.8234935242269
20,Cairo Santos,KC,  vs.  DEN,8,29,16.70652173913,3.8406805428382
21,Greg Zuerlein,STL,  vs.  OAK,2,31,18.474576271186,5.8028512343134
22,Robbie Gould,CHI,  at  DET,8,30,19.267857142857,5.0867161432941
23,Blair Walsh,MIN,  vs.  CAR,8,29,18.689655172414,4.1531329950048
24,Josh Brown,NYG,  at  JAC,6,31,20.020833333333,5.3715670561661
25,Billy Cundiff,CLE,  at  BUF,9,32,21.690476190476,5.6882840966076
26,Brandon McManus,DEN,  at  KC,6,21,12,6.0415229867973
27,Nick Folk,NYJ,  vs.  MIA,5,32,25.333333333333,5.2666283082608
28,Graham Gano,CAR,  at  MIN,13,31,24.368421052632,4.5214171778767
29,Sebastian Janikowski,OAK,  at  STL,12,32,26.810810810811,4.4651069890504
30,Kai Forbath,WAS,  at  IND,13,32,26.542857142857,4.5061409345968
31,Patrick Murray,TB,  vs.  CIN,16,32,28.176470588235,3.1851732636896
32,Josh Scobee,JAC,  vs.  NYG,19,32,29.121212121212,3.4532161184996
33,Ryan Succop,TEN,  at  HOU,21,32,28.794117647059,2.6321475437448
