Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Andrew Luck,IND,  vs.  WAS,1,6,1.5,1.0297304635613
2,Aaron Rodgers,GB,  vs.  NE,1,8,2.6034482758621,1.2379022184716
3,Peyton Manning,DEN,  at  KC,1,5,2.6810344827586,0.92474729009339
4,Tom Brady,NE,  at  GB,1,13,4.448275862069,1.7337662193071
5,Tony Romo,DAL,  vs.  PHI,1,10,5.301724137931,1.2192410555285
6,Drew Brees,NO,  at  PIT,1,11,6.2413793103448,1.8033526710335
7,Ben Roethlisberger,PIT,  vs.  NO,2,18,6.5775862068966,2.1421503137517
8,Matthew Stafford,DET,  vs.  CHI,5,17,8.6034482758621,1.9865032106557
9,Ryan Tannehill,MIA,  at  NYJ,5,18,8.7931034482759,2.1234212852884
10,Mark Sanchez,PHI,  at  DAL,6,17,10.586206896552,1.9698983236375
11,Russell Wilson,SEA,  at  SF,7,19,12.448275862069,2.5775717909872
12,Eli Manning,NYG,  at  JAC,8,30,13.818965517241,3.8069789315175
13,Philip Rivers,SD,  at  BAL,6,30,13.948275862069,3.7320716896
14,Matt Ryan,ATL,  vs.  ARI,9,25,15.025862068966,3.1716992261208
15,Cam Newton,CAR,  at  MIN,7,26,15.051724137931,3.2051812245988
16,Andy Dalton,CIN,  at  TB,7,25,16.008620689655,3.5779393261542
17,Jay Cutler,CHI,  at  DET,7,28,16.508620689655,3.677742208567
18,Joe Flacco,BAL,  vs.  SD,10,27,17.586206896552,2.5497429401103
19,Alex Smith,KC,  vs.  DEN,10,30,18.557522123894,3.542255801183
20,Colin Kaepernick,SF,  vs.  SEA,9,29,19.55652173913,2.9257219230929
21,Zach Mettenberger,TEN,  at  HOU,11,30,22.151785714286,3.7659418795032
22,Drew Stanton,ARI,  at  ATL,10,30,22.127272727273,3.7949945284644
23,Josh McCown,TB,  vs.  CIN,13,30,21.482456140351,3.1629224109834
24,Kyle Orton,BUF,  vs.  CLE,13,31,24.872727272727,3.1337142960481
25,Blake Bortles,JAC,  vs.  NYG,14,32,26.878787878788,3.5025898852848
26,Brian Hoyer,CLE,  at  BUF,12,32,26.39603960396,3.8230131911645
27,Shaun Hill,STL,  vs.  OAK,14,32,26.946808510638,3.3081685531571
28,Teddy Bridgewater,MIN,  vs.  CAR,17,31,25.342857142857,3.0576323595649
29,Colt McCoy,WAS,  at  IND,16,32,25.478723404255,3.4199935405073
30,Ryan Fitzpatrick,HOU,  vs.  TEN,12,32,27.759493670886,3.2771367167219
31,Robert Griffin III,WAS,  at  IND,16,40,26.851851851852,5.1761826610945
32,Tom Savage,HOU,  vs.  TEN,23,64,40,17.454703282115
33,Michael Vick,NYJ,  vs.  MIA,24,34,29.423076923077,3.0656041809214
34,Derek Carr,OAK,  at  STL,24,32,29.771428571429,1.7169027642941
35,Geno Smith,NYJ,  vs.  MIA,25,33,30.921875,1.7437808016993
36,Mike Glennon,TB,  vs.  CIN,28,47,37.5,9.5
37,Johnny Manziel,CLE,  at  BUF,33,60,40.75,11.166355717064
38,Derek Anderson,CAR,  at  MIN,35,50,42.5,7.5
